episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
13,2215.0500000000147,2946,True,2215.0500000000147
14,1394.1499999999678,1389,True,1394.1499999999678
15,1768.9499999998866,4808,True,1768.9499999998866
16,989.1499999999821,1133,True,989.1499999999821
17,1150.4999999999495,2662,True,1150.4999999999495
18,1927.4999999999286,2399,True,1927.4999999999286
19,-277.89999999995865,10505,True,-277.89999999995865
20,827.7999999999863,2708,True,827.7999999999863
21,970.2499999999723,1445,True,970.2499999999723
22,2093.3999999999814,3291,True,2093.3999999999814
23,969.2999999999765,1013,True,969.2999999999765
24,1527.5999999998683,6925,True,1527.5999999998683
25,887.0999999999221,3385,True,887.0999999999221
26,1345.3499999999287,2682,True,1345.3499999999287
27,1849.6499999999423,1979,True,1849.6499999999423
1,1801.9499999999127,3258,True,1801.9499999999127
2,997.349999999924,3053,True,997.349999999924
3,1476.8999999999496,2199,True,1476.8999999999496
4,1911.799999999958,2290,True,1911.799999999958
5,1450.249999999959,1405,True,1450.249999999959
6,1261.7499999999666,2740,True,1261.7499999999666
7,1757.6499999999387,2401,True,1757.6499999999387
8,1739.3999999999526,1547,True,1739.3999999999526
9,2903.450000000125,3434,True,2903.450000000125
10,2845.050000000119,5360,True,2845.050000000119
11,1821.8499999999328,3006,True,1821.8499999999328
12,1521.549999999957,1681,True,1521.549999999957
13,1529.199999999953,1695,True,1529.199999999953
14,1731.3999999999303,3612,True,1731.3999999999303
15,1712.8999999999498,1935,True,1712.8999999999498
16,1299.249999999969,1125,True,1299.249999999969
17,1683.049999999939,2353,True,1683.049999999939
18,2431.450000000079,3926,True,2431.450000000079
19,2295.9500000000103,4680,True,2295.9500000000103
20,2117.649999999961,2718,True,2117.649999999961
21,2201.950000000007,2890,True,2201.950000000007
22,1709.249999999916,2547,True,1709.249999999916
23,2122.699999999962,4034,True,2122.699999999962
24,2348.850000000002,3012,True,2348.850000000002
25,1307.3499999999603,1555,True,1307.3499999999603
1,2841.700000000107,3464,True,2841.700000000107
2,902.6499999999846,941,True,902.6499999999846
3,1909.949999999949,2315,True,1909.949999999949
4,1949.7499999999666,1751,True,1949.7499999999666
5,2423.549999999996,2510,True,2423.549999999996
6,1341.0999999999613,1727,True,1341.0999999999613
7,1298.0499999999686,1260,True,1298.0499999999686
8,1302.7499999999623,1745,True,1302.7499999999623
9,1421.5999999999583,1943,True,1421.5999999999583
10,562.6499999999949,513,True,562.6499999999949
11,1782.7499999999366,3881,True,1782.7499999999366
12,2064.849999999961,3411,True,2064.849999999961
13,2169.249999999967,3154,True,2169.249999999967
1,1639.999999999921,2579,True,1639.999999999921
2,1591.9499999999355,2203,True,1591.9499999999355
3,1454.0499999999672,2027,True,1454.0499999999672
4,536.0999999999981,517,True,536.0999999999981
5,1933.2999999999506,2463,True,1933.2999999999506
6,818.3999999999492,2811,True,818.3999999999492
7,1569.1999999999412,2033,True,1569.1999999999412
8,2166.449999999994,1878,True,2166.449999999994
9,1117.3999999999728,1389,True,1117.3999999999728
10,1865.9499999999591,1677,True,1865.9499999999591
11,1306.8999999999664,1191,True,1306.8999999999664
12,2028.149999999994,2218,True,2028.149999999994
13,1741.6999999999166,3797,True,1741.6999999999166
14,1726.6999999999277,2648,True,1726.6999999999277
15,1609.0499999999313,3408,True,1609.0499999999313
16,1713.7999999999208,3009,True,1713.7999999999208
17,2654.450000000061,2971,True,2654.450000000061
18,1257.0499999999531,2163,True,1257.0499999999531
19,1468.5499999999436,2886,True,1468.5499999999436
20,1184.2999999999631,1631,True,1184.2999999999631
21,1616.7999999999345,2620,True,1616.7999999999345
22,1544.5999999999335,2453,True,1544.5999999999335
23,2185.5500000000097,1711,True,2185.5500000000097
24,2095.549999999954,3211,True,2095.549999999954
25,2667.650000000126,5658,True,2667.650000000126
1,1223.949999999961,2682,True,1223.949999999961
2,558.1499999999965,523,True,558.1499999999965
3,902.7499999999811,1479,True,902.7499999999811
4,1669.1499999999583,1897,True,1669.1499999999583
5,2536.000000000013,2611,True,2536.000000000013
6,1333.4499999999653,1189,True,1333.4499999999653
7,910.79999999998,907,True,910.79999999998
8,1623.0499999999488,2111,True,1623.0499999999488
9,1542.2999999999051,6819,True,1542.2999999999051
10,2599.250000000102,4798,True,2599.250000000102
11,1654.6999999998943,7435,True,1654.6999999998943
12,405.99999999993696,7446,True,405.99999999993696
13,2237.8499999999804,4258,True,2237.8499999999804
14,2325.2500000000236,2581,True,2325.2500000000236
